shank,sua,cell,odor_count,spike_snr,isolation_distance,l_ratio,good
0,0,0,10,"[0.48433529 0.64560106 1.55137887 3.51361181 4.03957742 1.72791826
 0.73298926 0.6401813 ]",61.36328125,0.005615224130451679,1
0,0,1,10,"[0.66237731 1.22238298 2.67202896 8.06164373 6.13550945 1.62702445
 1.0408521  0.63875206]",91.86753845214844,0.0024929221253842115,1
0,0,2,10,"[0.56407114 0.71459851 1.69363643 3.09207329 4.03514593 1.36473532
 0.84550474 0.67327175]",28.290771484375,0.977092981338501,1
0,0,3,10,"[0.54446882 0.82351083 2.20429245 6.3186881  3.23007886 1.47679859
 0.93530693 0.50778915]",48.03719711303711,0.03836924582719803,1
0,0,4,10,"[0.37076499 0.61880852 1.35338399 3.19841864 3.31732581 1.19349893
 0.67469544 0.63084146]",42.691341400146484,0.08526504784822464,1
0,0,5,10,"[0.37491813 0.48278491 1.17991035 5.82390916 5.21952851 1.52144741
 0.77164038 0.6284059 ]",64.41950988769531,0.002177712507545948,1
0,0,6,10,"[0.37804771 0.5879936  1.47999803 3.405892   3.96468893 1.57354737
 1.1361995  0.5683066 ]",44.33344650268555,0.05283369496464729,1
0,0,7,10,"[0.38220056 0.94243963 1.87284277 4.08315174 4.00850878 1.35490167
 0.81910822 0.7319984 ]",33.54100036621094,0.46420466899871826,1
0,0,8,10,"[0.52779853 0.80100384 1.72602494 5.52840384 3.72657853 1.54619348
 0.88862608 0.59800099]",59.308631896972656,0.0043043713085353374,1
0,0,9,10,"[0.52743939 1.26391273 1.95281924 4.15319352 3.67712832 1.96211602
 1.06720176 0.58854948]",40.19517135620117,0.10768488794565201,1
0,0,10,10,"[0.47513776 0.73509907 1.68070105 5.68302682 4.7122448  1.44069369
 0.86818003 0.55543481]",29.121417999267578,0.9555264115333557,1
0,0,11,10,"[0.35213517 0.48727788 1.84806627 8.50429419 3.95783027 0.95113515
 0.64894709 0.53566833]",39.74708557128906,0.10661232471466064,1
0,0,12,10,"[ 0.77117345  1.02389112  2.49008341 11.32839801  8.71407529  2.11444015
  1.22051393  0.89138449]",110.88213348388672,0.0006969549576751888,1
0,1,0,10,"[0.54496024 1.17859092 2.29396661 8.90917881 5.95773474 2.53589009
 1.12652866 0.71915977]",95.0069580078125,9.489296814990666e-08,1
0,1,1,10,"[0.21857881 0.42928284 0.79441132 4.49492625 3.40484419 1.04933016
 0.50472968 0.54168295]",72.13807678222656,0.015711938962340355,1
0,1,2,10,"[0.62232537 0.8305879  1.96631845 4.40601232 4.92712595 1.74559292
 1.074417   0.75240078]",29.519676208496094,0.623090922832489,1
0,1,3,10,"[0.55612183 0.63839079 1.63440142 3.95243909 4.36886005 1.33400016
 0.84484289 0.66575409]",35.23371124267578,0.30258697271347046,1
0,2,0,10,"[0.39676039 0.45163102 0.9887243  2.00567277 4.02548698 0.992963
 0.74378674 0.50230022]",27.15340805053711,1.1287554502487183,1
0,2,1,10,"[0.27625808 0.55937321 1.19379948 3.34654709 2.66603084 0.89239226
 0.59629701 0.40223597]",34.96891784667969,0.27737852931022644,1
0,2,2,10,"[0.42791911 0.79240622 1.45749696 4.72031704 3.84265073 1.27706292
 0.87484551 0.61254815]",35.467323303222656,0.2560567557811737,1
0,2,3,10,"[0.51830379 1.02844464 2.2229269  8.47493895 5.65602073 1.3194436
 0.84323531 0.59508568]",90.83013916015625,1.679172237345483e-05,1
0,2,4,10,"[0.10635717 0.24478831 0.37385655 4.96345987 5.46393294 1.18136679
 0.42488805 0.25688195]",89.75019073486328,0.03265092149376869,1
0,2,5,10,"[0.32430596 0.69048228 1.48403189 4.90891555 3.53045195 1.1624815
 0.58022263 0.52788181]",67.44086456298828,0.0006167718674987555,1
0,2,6,10,"[0.40421676 0.54015562 1.38676956 3.92958178 3.35227325 0.74708782
 0.68393475 0.40395167]",36.402069091796875,0.21527914702892303,1
0,2,7,10,"[0.43799848 0.72390094 1.54360945 5.37081186 4.67717926 1.4771891
 0.66776061 0.56262935]",48.55061340332031,0.01870991475880146,1
0,2,8,10,"[0.42740129 0.73012006 1.63047665 5.86355025 4.14660665 1.22682937
 0.85143079 0.60672334]",39.30910110473633,0.12127262353897095,1
0,2,9,10,"[0.3524585  0.47287121 1.24839409 7.97960439 3.45057478 1.33256686
 0.67947493 0.52987056]",37.6533317565918,0.14049012959003448,1
1,0,0,10,"[0.40539539 0.53870481 1.59604004 5.04150092 3.02661715 1.46449024
 1.06791597 0.52349532]",25.78713607788086,0.9695920944213867,1
1,0,1,10,"[0.55489451 0.77478346 1.8782482  3.05817541 8.33284356 1.96705255
 1.34053034 0.61985228]",50.973426818847656,0.01688440702855587,1
1,2,0,10,"[0.39143869 0.64199763 1.19803341 3.7156353  5.26974328 1.5198295
 0.62516265 0.64150359]",27.680007934570312,1.2326178550720215,1
